,author id,name,paper id
1638,24/24,Per Runeson,conf/icse/RunesonAN07
1639,16/1591,Magnus Alexandersson,conf/icse/RunesonAN07
1640,02/2871,Oskar Nyholm,conf/icse/RunesonAN07
1641,w/DannyWeyns,Danny Weyns,conf/icse/WeynsH07
1642,15/6771,Tom Holvoet,conf/icse/WeynsH07
1643,33/3996,Margaret A. Wojcicki,conf/icse/WojcickiS07
1644,92/5917,Paul A. Strooper,conf/icse/WojcickiS07
1645,35/4417,Liguo Yu,conf/icse/Yu007
1646,c/KaiChen10,Kai Chen 0010,conf/icse/Yu007
1647,55/521-2,Hong Zhu 0002,conf/icse/ZhuWP07
1648,w/WEricWong,W. Eric Wong,conf/icse/ZhuWP07
1649,23/502,Amit M. Paradkar,conf/icse/ZhuWP07
1650,65/4421,John Anvik,conf/icse/Anvik06
1651,65/4421,John Anvik,conf/icse/AnvikHM06
1652,66/4163,Lyndon Hiew,conf/icse/AnvikHM06
1653,95/712,Gail C. Murphy,conf/icse/AnvikHM06
1654,57/3320,Benoit Baudry,conf/icse/BaudryFT06
1655,27/513,Franck Fleurey,conf/icse/BaudryFT06
1656,95/5206,Yves Le Traon,conf/icse/BaudryFT06
1657,84/3153,Márcio Eduardo Delamaro,conf/icse/DelamaroVM06
1658,05/4141,Auri Marcelo Rizzo Vincenzi,conf/icse/DelamaroVM06
1659,28/2292,José Carlos Maldonado,conf/icse/DelamaroVM06
1660,50/456,Dan Hao,conf/icse/Hao06
1661,181/2345,Amy J. Ko,conf/icse/Ko06
1662,25/2868,Ghassan Misherghi,conf/icse/Misherghi06
1663,s/ZhendongSu,Zhendong Su,conf/icse/Misherghi06
1664,15/6373,Parastoo Mohagheghi,conf/icse/MohagheghiCB06
1665,c/ReidarConradi,Reidar Conradi,conf/icse/MohagheghiCB06
1666,34/3935,Jon Arvid Børretzen,conf/icse/MohagheghiCB06
1667,91/5924,Ken Blaha,conf/icse/BlahaMSSV05
1668,m/AlvaroEMonge,Alvaro E. Monge,conf/icse/BlahaMSSV05
1669,06/3252,Dean Sanders,conf/icse/BlahaMSSV05
1670,17/4774,Beth Simon,conf/icse/BlahaMSSV05
1671,07/812,Tammy VanDeGrift,conf/icse/BlahaMSSV05
1672,74/3329,Ian Gorton,conf/icse/GortonZ05
1673,52/4318,Liming Zhu,conf/icse/GortonZ05
1674,h/ConstanceLHeitmeyer,Constance L. Heitmeyer,conf/icse/HeitmeyerP05
1675,p/KlausPohl,Klaus Pohl,conf/icse/HeitmeyerP05
1676,51/4817,Amir Michail,conf/icse/MichailX05
1677,181/2328,Tao Xie,conf/icse/MichailX05
1678,10/1753,Victor Pankratius,conf/icse/PankratiusS05
1679,s/WolffriedStucky,Wolffried Stucky,conf/icse/PankratiusS05
1680,10/1753,Victor Pankratius,conf/icse/PankratiusS05a
1681,s/WolffriedStucky,Wolffried Stucky,conf/icse/PankratiusS05a
1682,21/4503,Joseph R. Ruthruff,conf/icse/RuthruffBR05
1683,b/MMBurnett,Margaret M. Burnett,conf/icse/RuthruffBR05
1684,25/6796,Gregg Rothermel,conf/icse/RuthruffBR05
1685,07/812,Tammy VanDeGrift,conf/icse/VanDeGriftSSB05
1686,17/4774,Beth Simon,conf/icse/VanDeGriftSSB05
1687,06/3252,Dean Sanders,conf/icse/VanDeGriftSSB05
1688,91/5924,Ken Blaha,conf/icse/VanDeGriftSSB05
1689,74/3329,Ian Gorton,conf/icse/GortonH04
1690,23/4671,Jereme Haack,conf/icse/GortonH04
1691,49/3499,Vu Ha,conf/icse/HaRCRD04
1692,27/4451,Murali Rangarajan,conf/icse/HaRCRD04
1693,69/1064,Darren D. Cofer,conf/icse/HaRCRD04
1694,28/800,Harald Rueß,conf/icse/HaRCRD04
1695,d/BDutertre,Bruno Dutertre,conf/icse/HaRCRD04
1696,h/WilhelmHasselbring,Wilhelm Hasselbring,conf/icse/HasselbringRJSTK04
1697,r/RalfReussner,Ralf H. Reussner,conf/icse/HasselbringRJSTK04
1698,13/2912,Holger Jaekel,conf/icse/HasselbringRJSTK04
1699,s/JSchlegelmilch,Jürgen Schlegelmilch,conf/icse/HasselbringRJSTK04
1700,37/4208,Thorsten Teschke,conf/icse/HasselbringRJSTK04
1701,61/5317,Stefan Krieghoff,conf/icse/HasselbringRJSTK04
1702,h/JohannesHenkel,Johannes Henkel,conf/icse/HenkelD04
1703,d/AmerDiwan,Amer Diwan,conf/icse/HenkelD04
1704,57/6158,James A. Jones,conf/icse/Jones04
1705,73/3870,Peter Manhart,conf/icse/ManhartS04
1706,s/KurtSchneider,Kurt Schneider,conf/icse/ManhartS04
1707,46/2999-1,Mark Turner 0001,conf/icse/TurnerZKRBBBKLR04
1708,51/3680,Fujun Zhu,conf/icse/TurnerZKRBBBKLR04
1709,03/1644,Ioannis Kotsiopoulos,conf/icse/TurnerZKRBBBKLR04
1710,61/1938,Michelle Russell,conf/icse/TurnerZKRBBBKLR04
1711,01/338,David Budgen,conf/icse/TurnerZKRBBBKLR04
1712,37/6906,Keith H. Bennett,conf/icse/TurnerZKRBBBKLR04
1713,21/4595,Pearl Brereton,conf/icse/TurnerZKRBBBKLR04
1714,53/358,John A. Keane,conf/icse/TurnerZKRBBBKLR04
1715,49/240,Paul J. Layzell,conf/icse/TurnerZKRBBBKLR04
1716,01/3197,Michael Rigby,conf/icse/TurnerZKRBBBKLR04
1717,88/6682,Stefan Berner,conf/icse/Berner03
1718,50/126,George Fairbanks,conf/icse/Fairbanks03
1719,98/6064,Dick Hamlet,conf/icse/HamletS03
1720,s/MaryLouSoffa,Mary Lou Soffa,conf/icse/HamletS03
1721,86/795,Andy Podgurski,conf/icse/PodgurskiLFMMSW03
1722,56/6137,David Leon,conf/icse/PodgurskiLFMMSW03
1723,01/1098,Patrick Francis,conf/icse/PodgurskiLFMMSW03
1724,23/4711,Wes Masri,conf/icse/PodgurskiLFMMSW03
1725,82/242,Melinda Minch,conf/icse/PodgurskiLFMMSW03
1726,56/2839,Jiayang Sun,conf/icse/PodgurskiLFMMSW03
1727,13/1898,Bin Wang,conf/icse/PodgurskiLFMMSW03
1728,78/4362,Matthias Gehrke,conf/icse/GehrkeGNNTWZ02
1729,13/1348,Holger Giese,conf/icse/GehrkeGNNTWZ02
1730,28/2823-2,Ulrich Nickel 0002,conf/icse/GehrkeGNNTWZ02
1731,83/5115,Jörg Niere,conf/icse/GehrkeGNNTWZ02
1732,52/733,Matthias Tichy,conf/icse/GehrkeGNNTWZ02
1733,14/2389,Jörg P. Wadsack,conf/icse/GehrkeGNNTWZ02
