,author id,name,paper id
1612,68/3208,Robin Abraham,conf/icse/AbrahamE07
1613,e/MErwig,Martin Erwig,conf/icse/AbrahamE07
1614,29/1046,Ophelia C. Chesley,conf/icse/ChesleyRRT07
1615,55/4431,Xiaoxia Ren,conf/icse/ChesleyRRT07
1616,r/BarbaraGRyder,Barbara G. Ryder,conf/icse/ChesleyRRT07
1617,32/524,Frank Tip,conf/icse/ChesleyRRT07
1618,118/7794,James A. Clause,conf/icse/ClauseO07
1619,35/805,Alessandro Orso,conf/icse/ClauseO07
1620,e/SebastianGElbaum,Sebastian G. Elbaum,conf/icse/ElbaumPDJ07
1621,44/603,Suzette Person,conf/icse/ElbaumPDJ07
1622,99/3819,Jonathan Dokulil,conf/icse/ElbaumPDJ07
1623,67/5433,Matthew Jorde,conf/icse/ElbaumPDJ07
1624,16/4993,Paul Grisham,conf/icse/GrishamHP07
1625,35/624,Matthew J. Hawthorne,conf/icse/GrishamHP07
1626,p/DEPerry,Dewayne E. Perry,conf/icse/GrishamHP07
1627,49/6161,Mika Karaila,conf/icse/KarailaS07
1628,82/3938,Tarja Systä,conf/icse/KarailaS07
1629,82/2136,Thomas Raffetseder,conf/icse/RaffetsederKK07
1630,k/EnginKirda,Engin Kirda,conf/icse/RaffetsederKK07
1631,k/ChristopherKruegel,Christopher Kruegel,conf/icse/RaffetsederKK07
1632,24/24,Per Runeson,conf/icse/RunesonAN07
1633,16/1591,Magnus Alexandersson,conf/icse/RunesonAN07
1634,02/2871,Oskar Nyholm,conf/icse/RunesonAN07
1635,w/DannyWeyns,Danny Weyns,conf/icse/WeynsH07
1636,15/6771,Tom Holvoet,conf/icse/WeynsH07
1637,33/3996,Margaret A. Wojcicki,conf/icse/WojcickiS07
1638,92/5917,Paul A. Strooper,conf/icse/WojcickiS07
1639,35/4417,Liguo Yu,conf/icse/Yu007
1640,c/KaiChen10,Kai Chen 0010,conf/icse/Yu007
1641,55/521-2,Hong Zhu 0002,conf/icse/ZhuWP07
1642,w/WEricWong,W. Eric Wong,conf/icse/ZhuWP07
1643,23/502,Amit M. Paradkar,conf/icse/ZhuWP07
1644,65/4421,John Anvik,conf/icse/Anvik06
1645,65/4421,John Anvik,conf/icse/AnvikHM06
1646,66/4163,Lyndon Hiew,conf/icse/AnvikHM06
1647,95/712,Gail C. Murphy,conf/icse/AnvikHM06
1648,57/3320,Benoit Baudry,conf/icse/BaudryFT06
1649,27/513,Franck Fleurey,conf/icse/BaudryFT06
1650,95/5206,Yves Le Traon,conf/icse/BaudryFT06
1651,84/3153,Márcio Eduardo Delamaro,conf/icse/DelamaroVM06
1652,05/4141,Auri Marcelo Rizzo Vincenzi,conf/icse/DelamaroVM06
1653,28/2292,José Carlos Maldonado,conf/icse/DelamaroVM06
1654,50/456,Dan Hao,conf/icse/Hao06
1655,181/2345,Amy J. Ko,conf/icse/Ko06
1656,25/2868,Ghassan Misherghi,conf/icse/Misherghi06
1657,s/ZhendongSu,Zhendong Su,conf/icse/Misherghi06
1658,15/6373,Parastoo Mohagheghi,conf/icse/MohagheghiCB06
