,doi,forum,forum id,paper id,title,year
812,10.1016/J.CHB.2007.05.009,Comput. Hum. Behav.,journals/chb,journals/chb/SungCH08,Improving children&apos;s reading comprehension and use of strategies through computer-based strategy training.,2008
813,10.1016/J.CHB.2005.08.001,Comput. Hum. Behav.,journals/chb,journals/chb/Barak07,Emotional support and suicide prevention through the Internet - A field project report.,2007
814,10.1016/J.CHB.2004.12.008,Comput. Hum. Behav.,journals/chb,journals/chb/LuceWDOBT07,Reliability of self-report - paper versus online administration.,2007
815,10.1016/J.CHB.2006.03.016,Comput. Hum. Behav.,journals/chb,journals/chb/PhillipsR07,Decisional style and self-reported Email use in the workplace.,2007
816,10.1016/J.CHB.2004.11.007,Comput. Hum. Behav.,journals/chb,journals/chb/RoebersHB07,"Can private reports enhance children&apos;s event recall, lower their suggestibility and foster their metacognitive monitoring compared to face-to-face interviews?",2007
817,10.1016/J.CHB.2005.12.008,Comput. Hum. Behav.,journals/chb,journals/chb/HoS06,Verbal interface design - Do verbal directional cues automatically orient visual spatial attention?,2006
818,10.1016/J.CHB.2004.09.008,Comput. Hum. Behav.,journals/chb,journals/chb/LinkAHG06,Accessibility and acceptance of responsive virtual human technology as a survey interviewer training tool.,2006
819,10.1016/J.CHB.2004.02.023,Comput. Hum. Behav.,journals/chb,journals/chb/Muhlenfeld05,Differences between &apos;talking about&apos; and &apos;admitting&apos; sensitive behaviour in anonymous and non-anonymous web-based interviews.,2005
820,10.1016/S0747-5632(02)00013-4,Comput. Hum. Behav.,journals/chb,journals/chb/HongL03,A study on thinking strategy between experts and novices of computer games.,2003
821,10.1016/S0747-5632(03)00003-7,Comput. Hum. Behav.,journals/chb,journals/chb/Namlu03,The effect of learning strategy on computer anxiety.,2003
822,10.1016/S0747-5632(02)00015-8,Comput. Hum. Behav.,journals/chb,journals/chb/PlassCML03,Cognitive load in reading a foreign language text with multimedia aids and the influence of verbal and spatial abilities.,2003
